#dig bedrooms hurr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,,,,d,d,,d,d,,,,,d,d,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,d,,,d,,,d,,,d,,,d,,,d,,,d,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,d,,,d,,,d,,,d,,,d,,,d,,,d,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,d,,,d,,,d,,,d,,,d,,,d,,,d,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,d,,,d,,,d,,,d,,,d,,,d,,,d,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,#
,d,,,d,,,d,,,d,,,d,,,d,,,d,,d,d,,,,,,,,d,d,,,,,,,,d,d,,,,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
,,,d,d,,,,,,,,d,d,,,,,,,,d,d,,d,,,d,,,d,,,d,,,d,,,d,,,d,,#
d,d,d,d,d,d,d,d,,d,d,d,d,d,d,d,d,,d,d,d,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,,d,d,#
